@id,determinand.label,determinand.definition,determinand.notation,determinand.unit.label,result,codedResultInterpretation.interpretation,resultQualifier.notation,sample.sampleDateTime,sample.samplingPoint,sample.samplingPoint.label,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,stationReference,station,lat,long,gridReference,northing,easting,river,Waterbody ID,Distance,River basin district,Management catchment,Operational catchment,water body,Water body type,Easting,Northing,Ngr
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0116,N Oxidised,"Nitrogen, Total Oxidised as N",116,mg/l,0.91,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0117,Nitrate-N,Nitrate as N,117,mg/l,0.888,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0118,Nitrite-N,Nitrite as N,118,mg/l,0.0223,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0180,Orthophospht,"Orthophosphate, reactive as P",180,mg/l,0.20199999999999999,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0076,Temp Water,Temperature of Water,76,cel,16.5,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0111,Ammonia(N),Ammoniacal Nitrogen as N,111,mg/l,0.07400000000000001,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0119,NH3 un-ion,Ammonia un-ionised as N,119,mg/l,0.00108,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0162,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,162,mg/l,218.0,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-0077,Cond @ 25C,Conductivity at 25 C,77,us/cm,943.0,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
http://environment.data.gov.uk/water-quality/data/measurement/SW-3290697-9924,Oxygen Diss,"Oxygen, Dissolved as O2",9924,mg/l,5.78,,,2016-08-24T10:09:00,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,HORTHAM BK AT WEBBS WOOD,362657,181724,RIVER / RUNNING SURFACE WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),SW-60020005,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60020005,51.533173,-2.539748,None,181724,362657,None,GB109053027570,1594.0,Severn,Avon Bristol and North Somerset Streams,Bristol Avon Urban,Bradley Bk - conf Stoke Bk to conf R Brist Frome,River,363801,180614,ST6380180614
